id,scenario,y,sz_asr,sz_gold,true_delta,conf_proxy,wer
8442,calendar,2,1.0,1.0,0.0,0.000724004642305931,0.0
8449,calendar,2,1.0,1.0,0.0,0.003781652366395827,0.0
8453,calendar,2,1.0,1.0,0.0,0.0020766751707762543,0.0
8460,calendar,2,1.0,1.0,0.0,0.04636506481788272,0.0
8461,calendar,2,3.0,1.0,2.0,0.38036201773455125,0.4444444444444444
8466,calendar,2,1.0,1.0,0.0,0.004029427981393385,0.16666666666666666
8469,calendar,2,1.0,1.0,0.0,0.000922111286855043,0.0
8474,calendar,2,1.0,1.0,0.0,0.0012067201804009109,0.5
8494,calendar,2,1.0,1.0,0.0,0.006053873882747363,0.0
8496,calendar,2,1.0,1.0,0.0,0.014390363445294985,0.16666666666666666
8498,calendar,2,1.0,1.0,0.0,0.03937198819066168,0.0
8516,calendar,2,1.0,1.0,0.0,0.03316177168491374,0.0
